Wall time,Step,Value
1510710951.592936,0,5.79544734954834
1510711064.7591646,80,1.9246561527252197
1510711183.2374082,206,1.939753770828247
1510711303.8169188,334,1.8188376426696777
1510711423.8989193,462,1.9418457746505737
1510711543.982579,589,0.25743114948272705
1510711662.9047484,675,1.930046558380127
1510711783.9786117,804,1.6441878080368042
1510711903.3062756,931,1.213603138923645
1510712023.7691672,1059,0.28804779052734375
1510712144.0717778,1186,1.403552532196045
1510712263.0226305,1272,1.74037504196167
1510712383.1808927,1400,1.654915690422058
1510712503.3678734,1528,2.279524087905884
1510712622.693271,1655,1.1725233793258667
1510712743.7266743,1783,2.314042091369629
