Wall time,Step,Value
1511308458.613939,0,7.34633731842041
1511308560.9788659,28,8.207208633422852
1511308680.1556563,67,6.8344292640686035
1511308800.3956978,106,6.343144416809082
1511308919.3035424,145,6.446167945861816
1511309040.4858937,185,6.498929977416992
1511309160.37013,219,6.019382953643799
1511309279.9690793,258,6.6276750564575195
1511309400.857527,298,5.9598917961120605
1511309520.0936213,337,6.0455827713012695
1511309640.554834,376,6.078891754150391
1511309759.6844442,410,6.150599479675293
1511309880.9213164,450,5.669525146484375
1511310000.495852,489,6.236334800720215
1511310120.9902594,529,5.866425514221191
1511310240.9941463,568,6.120560169219971
1511310359.756532,602,6.063251495361328
1511310480.3889291,642,5.67185640335083
1511310600.249913,681,5.502374172210693
1511310720.51331,721,5.856262683868408
1511310841.455699,760,5.674856662750244
1511310959.7517242,794,5.895028591156006
1511311080.308615,834,5.451268196105957
1511311200.998857,874,5.657588481903076
1511311320.296791,913,5.452714920043945
1511311440.1780016,953,5.82642936706543
1511311559.923147,987,5.674797534942627
1511311679.7580936,1026,5.5967488288879395
1511311800.739371,1066,6.281292915344238
1511311918.828105,1105,6.484959602355957
