Wall time,Step,Value
1510706303.9802132,0,4.517162799835205
1510706415.8858478,76,2.010498046875
1510706535.1553519,202,2.233841896057129
1510706655.0724828,329,2.2135043144226074
1510706775.4040537,456,1.6941802501678467
1510706895.2434285,582,1.1172670125961304
1510707014.2036448,667,1.6763482093811035
1510707134.2285178,794,1.604560375213623
1510707255.4358974,922,2.0157275199890137
1510707375.0153391,1048,2.0543222427368164
1510707495.8006544,1175,1.4958852529525757
1510707614.5572739,1260,1.4396106004714966
1510707734.6717691,1387,1.6812310218811035
1510707854.943225,1514,1.329282522201538
1510707975.1398327,1640,1.2366623878479004
