Wall time,Step,Value
1510695714.056363,0,4.852018356323242
1510695716.4747517,0,5.935779571533203
1510695823.3840392,36,7.217301845550537
1510695944.4990456,71,6.5160040855407715
1510696064.5732574,111,6.771191596984863
1510696184.5717342,151,6.651499271392822
1510696304.9411554,191,6.099064350128174
1510696424.2831461,231,6.385660171508789
1510696544.7416697,265,5.765893936157227
1510696664.9494414,305,6.143749713897705
1510696785.4756744,344,5.77570915222168
1510696903.2648027,383,6.061042308807373
1510697026.2976668,423,6.083480358123779
1510697143.3593383,456,5.74160623550415
1510697264.8696878,496,6.5440568923950195
1510697385.0755594,536,5.531031608581543
1510697504.657033,575,5.805604934692383
1510697623.9669428,614,5.244783401489258
1510697743.672641,649,5.71560001373291
1510697864.7301974,689,5.429263114929199
1510697984.7215488,728,5.686955451965332
1510698104.6568782,768,5.851038932800293
1510698224.3102148,807,5.879945278167725
1510698345.5749326,842,6.235599040985107
1510698463.6446478,881,5.658613204956055
