Wall time,Step,Value
1510708749.1100848,0,5.952110290527344
1510708861.769353,78,2.594611167907715
1510708980.7031486,205,2.50137996673584
1510709100.400571,332,2.651223659515381
1510709221.0642483,460,1.9500641822814941
1510709341.1294286,587,1.7835400104522705
1510709461.2958076,674,1.9124689102172852
1510709580.6724288,800,1.812832236289978
1510709701.4481144,928,1.7324752807617188
1510709821.2446258,1055,2.0813634395599365
1510709941.5962386,1182,1.0946803092956543
1510710060.877004,1268,1.6466350555419922
1510710180.8556607,1395,1.3846054077148438
1510710301.3081067,1523,1.4807666540145874
1510710420.1657903,1649,1.8061575889587402
1510710541.1601927,1777,1.4850720167160034
